iter	Passed	Remaining
602	1550	1021
603	1552	1017
604	1553	1014
605	1558	1013
606	1561	1010
607	1563	1007
608	1564	1004
609	1566	1001
610	1567	998
611	1569	994
612	1573	993
613	1575	990
614	1576	986
615	1577	983
616	1579	980
617	1580	976
618	1581	973
619	1583	970
620	1584	967
621	1589	965
622	1591	962
623	1592	959
624	1594	956
625	1595	953
626	1597	950
627	1599	947
628	1604	946
629	1605	943
630	1607	940
631	1608	936
632	1610	933
633	1611	930
634	1612	926
635	1613	923
636	1616	921
637	1618	918
638	1619	914
639	1621	911
640	1622	908
641	1623	905
642	1625	902
643	1626	899
644	1627	895
645	1628	892
646	1631	890
647	1633	887
648	1634	884
649	1635	880
650	1636	877
651	1638	874
652	1639	871
653	1641	868
654	1642	865
655	1644	862
656	1647	859
657	1648	856
658	1649	853
659	1651	850
660	1652	847
661	1653	844
662	1654	841
663	1655	837
664	1657	834
665	1658	831
666	1662	830
667	1664	827
668	1666	824
669	1667	821
670	1668	818
671	1670	815
672	1672	812
673	1674	809
674	1676	807
675	1677	804
676	1679	801
677	1680	798
678	1681	795
679	1682	791
680	1684	788
681	1685	785
682	1686	782
683	1687	779
684	1689	776
685	1691	774
686	1692	771
687	1694	768
688	1695	765
689	1697	762
690	1698	759
691	1699	756
692	1701	753
693	1706	752
694	1707	749
695	1709	746
696	1711	743
697	1712	741
698	1714	738
699	1715	735
700	1716	732
701	1718	729
702	1720	726
703	1721	723
704	1723	721
705	1724	718
706	1726	715
707	1728	712
708	1730	710
709	1731	707
710	1732	704
711	1735	702
712	1738	699
713	1740	697
714	1742	694
715	1743	691
716	1745	688
717	1747	686
718	1750	684
719	1752	681
720	1754	678
721	1756	676
722	1757	673
723	1759	670
724	1760	667
725	1762	665
726	1765	663
727	1767	660
728	1769	657
729	1770	655
730	1772	652
731	1774	649
732	1775	646
733	1779	644
734	1782	642
735	1784	639
736	1785	637
737	1787	634
738	1788	631
739	1790	629
740	1791	626
741	1796	624
742	1797	621
743	1799	619
744	1801	616
745	1802	613
746	1804	611
747	1807	608
748	1809	606
749	1811	603
750	1813	601
751	1815	598
752	1818	596
753	1821	594
754	1824	592
755	1826	589
756	1828	586
757	1830	584
758	1832	581
759	1835	579
760	1838	577
761	1840	574
762	1842	572
763	1846	570
764	1848	567
765	1850	565
766	1852	562
767	1858	561
768	1861	559
769	1863	556
770	1866	554
771	1877	554
772	1879	552
773	1881	549
774	1884	547
775	1888	545
776	1891	542
777	1892	540
778	1894	537
779	1896	534
780	1903	533
781	1905	531
782	1907	528
783	1912	526
784	1915	524
785	1922	523
786	1924	520
787	1932	519
788	1935	517
789	1937	514
790	1948	514
791	1950	512
792	1955	510
793	1963	509
794	1966	507
795	1968	504
796	1969	501
797	1971	499
798	1979	497
799	1981	495
800	1984	493
801	1987	490
802	1992	488
803	1996	486
804	1998	484
805	2000	481
806	2001	478
807	2003	476
808	2005	473
809	2006	470
810	2008	468
811	2010	465
812	2012	462
813	2015	460
814	2017	457
815	2019	455
816	2021	452
817	2023	450
818	2025	447
819	2027	445
820	2029	442
821	2031	439
822	2033	437
823	2034	434
824	2036	431
825	2037	429
826	2039	426
827	2041	423
828	2043	421
829	2046	419
830	2049	416
831	2051	414
832	2053	411
833	2054	408
834	2056	406
835	2058	403
836	2060	401
837	2061	398
838	2063	395
839	2065	393
840	2066	390
841	2068	388
842	2070	385
843	2073	383
844	2075	380
845	2076	378
846	2078	375
847	2079	372
848	2081	370
